"Notes"
NULL
"recorded as McNickell"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Makkie claimed Cockie taught her witchcraft."
"Named by Boswell"
"Garner named Boswell"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Baird named Burgess as a witch."
NULL
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
"named by Gray"
NULL
"named by Gray"
"named by Gray"
NULL
"Craig was denounced by her mother Wallace"
"Mawsie named Thomesone."
"Mure named Lumisden"
"Mure named Hamiltoun"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Culsetter named Paplay as the 'greatest witch of them all."
NULL
NULL
"Melrois had been named by Young and she named Young in her deposition"
"Steven seems to have named Oswald and Oswald named Steven."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Campbell confronted Bannyntyne."
NULL
NULL
"Bane named Lucas."
"Thomsone was said to have named Mitchells as a witch."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"No date for trial."
"no trial date."
"no trial date for Purdie."
"no trial date for Lausone."
"no trial date"
"no trial date."
"Mentioned as having taught Frasser."
NULL
NULL
"Helen Casse had a 2nd later trial"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"identified Isobel Ramsay as the cause of the death of William Porteous's child."
"named Jonet Miller as witch"
"named Jonet Millar as witch"
"named Jonet Millar as witch"
"named Jonet Millar as witch"
"named Jonet Miller as witch"
"named Jonet Miller as witch"
"Burne did not appear in front of presbytery, fate unknown."
NULL
NULL
NULL
NULL
"Cant denounced Margaret Young as witch"
"Logie named Margaret Young as witch"
"Logie named Isobel Young as witch"
NULL
NULL
NULL
NULL
"Melvill named them all as witches"
"Coutts named Forrest as witch"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Mactargett said she had learnt witchcraft from Highland woman, Margaret McClain ?about 20 years before"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Robison was listed in the first commission with Grieve but not in the second"
"Robison was mentioned in first commission with Wauch but not in second"
"Grieve was mentioned in first commission with Robison but not the second one"
"Wauch was mentioned in first commission with Robison but not her second one"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Coutts named Moffat as a witch"
"named by Janet Coutts"
"named as witch by Coutts"
"Coutts denounced Moffat"
"Coutts denounced Laidlaw as a witch"
"named Hunter as a suspected witch"
NULL
NULL
NULL
NULL
NULL
"denounced Acheson and others as witches"
"accused Kilpatrick and others"
"named Gibson and several others as witches"
"Coutts named Williamson as a witch"
"Coutts named Marion Moffat and others as witches"
"Jonat Coupar denounced Skair"
"Janet Coupar denounced Walker."
"Lyell named Cramond"
"Lyell named Law"
"denounced by Walker"
"denounced as a witch by Walker"
"named as a witch by Walker"
"named Cockie as an accomplice"
"mentioned as having been executed for witchcraft."
"Mentioned as a witch who was still living."
"Claimed to have been taught the demonic pact by Frasser."
"Man claimed Saythe attended meetings for 6 years"
"Man denounced Moress and his wife"
NULL
"Man denounced this woman and her husband"
"Wobster named Gib as an accomplice and claimed they caused the death of a man"
"Man confronted and identified Leisk"
"Man appears to have confronted Fidlar and Leisk and identified them as witches."
"Boswell named Symsone"
"Richie appears to have consulted Grant and also to have been asked to remove Grant's bewitchments. Burnt as a witch in Edinburgh"
"Bane mentioned as being burnt as a witch, and being Richie's accomplice."
"Mentioned as having been burnt at Edinburgh. Gave Richie a magical belt."
NULL
"Bane appears to have denounced Og and several others"
"Bane was Rogie's mother"
"Bane identified Lucas as having attended meetings with her and other witches."
"Bane seems to have identified Davidsone and others as having attended meetings."
"Bane appears to have told the authorities that Oige attended meeting with her and the Devil."
"Bane claimed Robbie attended meetings."
"Og was Robbie's mother and it was claimed that Robbie helped her carry out her witchcraft."
"Robbie was Og's daughter and accused of assisting her mother in her witchcraft."
"They were sisters."
